               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061062,             0.02194,                   0,             0.83725,             0.87882,             0.92833,             0.58373,            0.029616,           0.0067733,                   0,           0.0033251,           0.0033251,            0.070074
                   1,            0.036021,             0.01234,                   0,             0.96037,             0.96176,             0.98214,             0.66324,            0.024615,           0.0051284,                   0,           0.0066365,           0.0066365,            0.040052
                   2,            0.032534,            0.010699,                   0,             0.96457,             0.94047,             0.97957,             0.68335,            0.021921,           0.0048415,                   0,           0.0099258,           0.0099258,            0.010008
                   3,            0.029213,             0.01008,                   0,             0.97474,             0.96554,             0.99133,             0.74619,            0.019207,           0.0041736,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.026206,           0.0090524,                   0,             0.99045,             0.98706,             0.99415,             0.78641,            0.016575,           0.0038239,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.02423,           0.0086242,                   0,             0.99098,             0.99396,             0.99437,             0.80213,            0.016613,           0.0036647,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.023392,           0.0082168,                   0,              0.9974,             0.99283,              0.9945,             0.82459,            0.015817,           0.0034695,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.022153,           0.0080013,                   0,             0.99225,             0.99569,             0.99457,             0.82265,             0.01571,           0.0034017,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.021859,           0.0078311,                   0,             0.99282,             0.99655,              0.9949,             0.82841,            0.015259,           0.0033738,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.021359,           0.0075207,                   0,             0.99652,             0.99741,             0.99477,             0.84062,            0.014422,           0.0033035,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.020627,           0.0073733,                   0,             0.99452,             0.99655,             0.99469,             0.83338,            0.015049,           0.0033803,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.020704,            0.007304,                   0,             0.99741,             0.99693,             0.99475,             0.84564,             0.01408,           0.0031497,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.020144,           0.0071798,                   0,             0.99485,             0.99923,             0.99486,             0.84537,            0.014421,            0.003169,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.019629,           0.0070673,                   0,             0.99475,             0.99741,             0.99466,             0.84654,            0.014168,           0.0032519,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.019771,           0.0069354,                   0,              0.9962,             0.99569,             0.99478,             0.84927,            0.014492,           0.0031485,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.018889,           0.0069684,                   0,             0.99655,              0.9974,              0.9949,             0.85965,            0.014178,           0.0030704,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.018816,           0.0067839,                   0,             0.99615,             0.99827,             0.99493,             0.85774,            0.013768,           0.0030553,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.018853,           0.0068247,                   0,             0.99797,             0.99914,             0.99483,             0.85405,            0.013813,           0.0030786,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.01872,           0.0067739,                   0,              0.9953,             0.99655,             0.99487,             0.85377,            0.013835,           0.0031428,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.018843,            0.006687,                   0,             0.99535,             0.99827,              0.9949,             0.85179,            0.013841,           0.0030414,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.018284,           0.0066767,                   0,             0.99726,             0.99827,             0.99491,             0.86715,            0.013393,           0.0030584,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.018029,           0.0066646,                   0,             0.99653,             0.99914,             0.99498,             0.84805,            0.013316,           0.0030043,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.018307,           0.0065616,                   0,             0.99483,             0.99638,              0.9948,             0.86227,            0.013139,           0.0030074,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.017997,           0.0064752,                   0,             0.99643,             0.99827,             0.99489,             0.86432,            0.013135,           0.0029475,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.017775,           0.0064539,                   0,             0.99742,             0.99891,             0.99489,             0.86268,            0.013201,           0.0029598,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.018016,           0.0063575,                   0,             0.99314,             0.99893,             0.99496,             0.87241,            0.012981,           0.0029586,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.017858,           0.0064426,                   0,             0.99742,              0.9989,             0.99498,             0.86753,            0.013263,           0.0029456,                   0,            0.009175,            0.009175,            0.009175
